D6926 齐齐哈尔 安达 哈尔滨 http://www.99118.com/huoche/zhan/anda.htm
G1538 昆明南 怀化南 郑州东 http://www.99118.com/huoche/zhan/huaihuanan.htm
K1190 乌兰浩特 怀柔北 北京 http://www.99118.com/huoche/zhan/huairoubei.htm
G1907 银川 华山北 济南西 http://www.99118.com/huoche/zhan/huashanbei.htm
G1910 银川 华山北 济南西 http://www.99118.com/huoche/zhan/huashanbei.htm
C4812 清城 花山镇 白云机场北 http://www.99118.com/huoche/zhan/HuaShanZhen.htm
C4813 清城 花山镇 白云机场北 http://www.99118.com/huoche/zhan/HuaShanZhen.htm
G7248 上海 惠山 合肥南 http://www.99118.com/huoche/zhan/huishan.htm
G7249 上海 惠山 合肥南 http://www.99118.com/huoche/zhan/huishan.htm
T212 深圳东 惠州 上海南 http://www.99118.com/huoche/zhan/huizhou.htm
T212 深圳东 吉安 上海南 http://www.99118.com/huoche/zhan/jian6.htm
D3262 汉口 将乐 福州 http://www.99118.com/huoche/zhan/jiangle.htm
D3263 汉口 将乐 福州 http://www.99118.com/huoche/zhan/jiangle.htm
G1071 北京南 胶州北 青岛 http://www.99118.com/huoche/zhan/jiaozhoubei.htm
G1709 天津西 郏县 重庆北 http://www.99118.com/huoche/zhan/jiaxian.htm
T212 深圳东 嘉兴 上海南 http://www.99118.com/huoche/zhan/jiaxing.htm
G6906 青岛 即墨北 济南西 http://www.99118.com/huoche/zhan/jimobei.htm
G6907 青岛 即墨北 济南西 http://www.99118.com/huoche/zhan/jimobei.htm
D1631 太原南 济南 青岛北 http://www.99118.com/huoche/zhan/jinan.htm
D1634 太原南 济南 青岛北 http://www.99118.com/huoche/zhan/jinan.htm
G1071 北京南 济南 青岛 http://www.99118.com/huoche/zhan/jinan.htm
G6906 青岛 济南东 济南西 http://www.99118.com/huoche/zhan/jinandong.htm
G6907 青岛 济南东 济南西 http://www.99118.com/huoche/zhan/jinandong.htm
G1071 北京南 济南西 青岛 http://www.99118.com/huoche/zhan/jinanxi.htm
G6906 青岛 济南西 济南西 http://www.99118.com/huoche/zhan/jinanxi.htm
G6907 青岛 济南西 济南西 http://www.99118.com/huoche/zhan/jinanxi.htm
G1910 银川 济南西 济南西 http://www.99118.com/huoche/zhan/jinanxi.htm
G1907 银川 济南西 济南西 http://www.99118.com/huoche/zhan/jinanxi.htm
T212 深圳东 金华 上海南 http://www.99118.com/huoche/zhan/jinhua.htm
C411 上海南 金华 开化 http://www.99118.com/huoche/zhan/jinhua.htm
D3206 厦门北 晋江 上海虹桥 http://www.99118.com/huoche/zhan/jinjiang.htm
C2301 天津 军粮城北 滨海 http://www.99118.com/huoche/zhan/junliangchengbei.htm
K605 西安 开封 杭州 http://www.99118.com/huoche/zhan/kaifeng.htm
K608 西安 开封 杭州 http://www.99118.com/huoche/zhan/kaifeng.htm
C344 昆明 昆明 保山 http://www.99118.com/huoche/zhan/kunming.htm
C345 昆明 昆明 保山 http://www.99118.com/huoche/zhan/kunming.htm
G1810 上海虹桥 昆山南 南阳东 http://www.99118.com/huoche/zhan/kunshannan.htm
G1811 上海虹桥 昆山南 南阳东 http://www.99118.com/huoche/zhan/kunshannan.htm
K605 西安 兰考 杭州 http://www.99118.com/huoche/zhan/lankao.htm
K608 西安 兰考 杭州 http://www.99118.com/huoche/zhan/lankao.htm
D756 西宁 兰州 重庆北 http://www.99118.com/huoche/zhan/lanzhou.htm
C4816 清城 乐同 白云机场北 http://www.99118.com/huoche/zhan/LeTong.htm
C4817 清城 乐同 白云机场北 http://www.99118.com/huoche/zhan/LeTong.htm
D2160 宁波 连云港 青岛北 http://www.99118.com/huoche/zhan/lianyungang.htm
K605 西安 灵宝 杭州 http://www.99118.com/huoche/zhan/lingbao.htm
K608 西安 灵宝 杭州 http://www.99118.com/huoche/zhan/lingbao.htm
G1907 银川 灵宝西 济南西 http://www.99118.com/huoche/zhan/lingbaoxi.htm
G1910 银川 灵宝西 济南西 http://www.99118.com/huoche/zhan/lingbaoxi.htm
Exception cha_status: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
K605 西安 临潼 杭州 http://www.99118.com/huoche/zhan/LinTong.htm
K608 西安 临潼 杭州 http://www.99118.com/huoche/zhan/LinTong.htm
T212 深圳东 龙川 上海南 http://www.99118.com/huoche/zhan/longchuan.htm
C7527 东莞西 龙丰 小金口 http://www.99118.com/huoche/zhan/longfeng.htm
C5850 贵安 芦官 贵安 http://www.99118.com/huoche/zhan/LuGuan.htm
K608 西安 洛阳 杭州 http://www.99118.com/huoche/zhan/luoyang.htm
K605 西安 洛阳 杭州 http://www.99118.com/huoche/zhan/luoyang.htm
G3283 成都东 洛阳龙门 上海虹桥 http://www.99118.com/huoche/zhan/luoyanglongmen.htm
G3286 成都东 洛阳龙门 上海虹桥 http://www.99118.com/huoche/zhan/luoyanglongmen.htm
G1907 银川 洛阳龙门 济南西 http://www.99118.com/huoche/zhan/luoyanglongmen.htm
G1910 银川 洛阳龙门 济南西 http://www.99118.com/huoche/zhan/luoyanglongmen.htm
D3255 宜昌东 庐山 南昌西 http://www.99118.com/huoche/zhan/lushan.htm
D3258 宜昌东 庐山 南昌西 http://www.99118.com/huoche/zhan/lushan.htm
K282 上海 鲁山 成都西 http://www.99118.com/huoche/zhan/lushan2.htm
K283 上海 鲁山 成都西 http://www.99118.com/huoche/zhan/lushan2.htm
D3194 南昌西 马鞍山东 南京南 http://www.99118.com/huoche/zhan/maanshandong.htm
G1907 银川 渑池南 济南西 http://www.99118.com/huoche/zhan/mianchinan.htm
G1910 银川 渑池南 济南西 http://www.99118.com/huoche/zhan/mianchinan.htm
K605 西安 民权 杭州 http://www.99118.com/huoche/zhan/minquan.htm
K608 西安 民权 杭州 http://www.99118.com/huoche/zhan/minquan.htm
G1907 银川 民权北 济南西 http://www.99118.com/huoche/zhan/minquanbei.htm
G1910 银川 民权北 济南西 http://www.99118.com/huoche/zhan/minquanbei.htm
G2692 新乡东 无为 深圳北 http://www.99118.com/huoche/zhan/mowei.htm
G2693 新乡东 无为 深圳北 http://www.99118.com/huoche/zhan/mowei.htm
D3614 广州南 南江口 南宁东 http://www.99118.com/huoche/zhan/nanjiangkou.htm
K360 上海 南京 银川 http://www.99118.com/huoche/zhan/nanjing.htm
K361 上海 南京 银川 http://www.99118.com/huoche/zhan/nanjing.htm
G7079 潜山 南京南 上海 http://www.99118.com/huoche/zhan/nanjingnan.htm
G7082 潜山 南京南 上海 http://www.99118.com/huoche/zhan/nanjingnan.htm
G113 北京南 南京南 上海虹桥 http://www.99118.com/huoche/zhan/nanjingnan.htm
G7248 上海 南京南 合肥南 http://www.99118.com/huoche/zhan/nanjingnan.htm
G7249 上海 南京南 合肥南 http://www.99118.com/huoche/zhan/nanjingnan.htm
D2363 南宁东 南宁东 广州南 http://www.99118.com/huoche/zhan/nanningdong.htm
D3614 广州南 南宁东 南宁东 http://www.99118.com/huoche/zhan/nanningdong.htm
G1655 上海虹桥 南平北 厦门北 http://www.99118.com/huoche/zhan/nanpingbei.htm
G1675 南京南 南平北 厦门北 http://www.99118.com/huoche/zhan/nanpingbei.htm
C7644 珠海 南头 广州南 http://www.99118.com/huoche/zhan/nantou.htm
K466 宁波 南阳 西安 http://www.99118.com/huoche/zhan/nanyang.htm
K467 宁波 南阳 西安 http://www.99118.com/huoche/zhan/nanyang.htm
K466 宁波 内乡 西安 http://www.99118.com/huoche/zhan/naxiang.htm
K467 宁波 内乡 西安 http://www.99118.com/huoche/zhan/naxiang.htm
K466 宁波 宁波 西安 http://www.99118.com/huoche/zhan/ningbo.htm
K467 宁波 宁波 西安 http://www.99118.com/huoche/zhan/ningbo.htm
C511 长春 农安 白城 http://www.99118.com/huoche/zhan/nongan.htm
G6906 青岛 平度 济南西 http://www.99118.com/huoche/zhan/pingdu.htm
G6907 青岛 平度 济南西 http://www.99118.com/huoche/zhan/pingdu.htm
C7102 深圳 平湖 广州东 http://www.99118.com/huoche/zhan/pinghu.htm
G2332 宁海 萍乡北 贵阳北 http://www.99118.com/huoche/zhan/pingxiangbei2.htm
G2333 宁海 萍乡北 贵阳北 http://www.99118.com/huoche/zhan/pingxiangbei2.htm
D3296 龙岩 平阳 南京南 http://www.99118.com/huoche/zhan/pingyang2.htm
D3297 龙岩 平阳 南京南 http://www.99118.com/huoche/zhan/pingyang2.htm
G1907 银川 乾县 济南西 http://www.99118.com/huoche/zhan/qianxian.htm
G1910 银川 乾县 济南西 http://www.99118.com/huoche/zhan/qianxian.htm
G6906 青岛 青岛 济南西 http://www.99118.com/huoche/zhan/qingdao.htm
G6907 青岛 青岛 济南西 http://www.99118.com/huoche/zhan/qingdao.htm
G1071 北京南 青岛 青岛 http://www.99118.com/huoche/zhan/qingdao.htm
G208 青岛 青岛北 北京南 http://www.99118.com/huoche/zhan/qingdaobei.htm
G6906 青岛 青岛北 济南西 http://www.99118.com/huoche/zhan/qingdaobei.htm
G6907 青岛 青岛北 济南西 http://www.99118.com/huoche/zhan/qingdaobei.htm
G1910 银川 庆阳 济南西 http://www.99118.com/huoche/zhan/QingYang.htm
G1907 银川 庆阳 济南西 http://www.99118.com/huoche/zhan/QingYang.htm
G6906 青岛 青州市北 济南西 http://www.99118.com/huoche/zhan/qingzhoushibei.htm
G6907 青岛 青州市北 济南西 http://www.99118.com/huoche/zhan/qingzhoushibei.htm
G7248 上海 全椒 合肥南 http://www.99118.com/huoche/zhan/quanjiao.htm
G7249 上海 全椒 合肥南 http://www.99118.com/huoche/zhan/quanjiao.htm
T212 深圳东 衢州 上海南 http://www.99118.com/huoche/zhan/quzhou.htm
K605 西安 三门峡 杭州 http://www.99118.com/huoche/zhan/sanmenxia2.htm
K608 西安 三门峡 杭州 http://www.99118.com/huoche/zhan/sanmenxia2.htm
K605 西安 三门峡西 杭州 http://www.99118.com/huoche/zhan/sanmenxiaxi.htm
K608 西安 三门峡西 杭州 http://www.99118.com/huoche/zhan/sanmenxiaxi.htm
K466 宁波 商城 西安 http://www.99118.com/huoche/zhan/shangcheng.htm
K467 宁波 商城 西安 http://www.99118.com/huoche/zhan/shangcheng.htm
G7248 上海 上海 合肥南 http://www.99118.com/huoche/zhan/shanghai.htm
G7249 上海 上海 合肥南 http://www.99118.com/huoche/zhan/shanghai.htm
T212 深圳东 上海南 上海南 http://www.99118.com/huoche/zhan/shanghainan.htm
K466 宁波 商洛 西安 http://www.99118.com/huoche/zhan/shangluo.htm
K467 宁波 商洛 西安 http://www.99118.com/huoche/zhan/shangluo.htm
K466 宁波 商南 西安 http://www.99118.com/huoche/zhan/shangnan.htm
K467 宁波 商南 西安 http://www.99118.com/huoche/zhan/shangnan.htm
G3131 太原南 商丘 上海虹桥 http://www.99118.com/huoche/zhan/shangqiu.htm
G3134 太原南 商丘 上海虹桥 http://www.99118.com/huoche/zhan/shangqiu.htm
G1907 银川 商丘 济南西 http://www.99118.com/huoche/zhan/shangqiu.htm
G1910 银川 商丘 济南西 http://www.99118.com/huoche/zhan/shangqiu.htm
K608 西安 商丘 杭州 http://www.99118.com/huoche/zhan/shangqiu.htm
K605 西安 商丘 杭州 http://www.99118.com/huoche/zhan/shangqiu.htm
T212 深圳东 上饶 上海南 http://www.99118.com/huoche/zhan/shangrao.htm
G295 济南西 上饶 南昌西 http://www.99118.com/huoche/zhan/shangrao.htm
K466 宁波 上虞 西安 http://www.99118.com/huoche/zhan/shangyu.htm
K467 宁波 上虞 西安 http://www.99118.com/huoche/zhan/shangyu.htm
K466 宁波 绍兴 西安 http://www.99118.com/huoche/zhan/shaoxing.htm
K467 宁波 绍兴 西安 http://www.99118.com/huoche/zhan/shaoxing.htm
C7102 深圳 深圳 广州东 http://www.99118.com/huoche/zhan/shenzhen.htm
D2384 广州东 深圳北 厦门 http://www.99118.com/huoche/zhan/shenzhenbei.htm
D2381 广州东 深圳北 厦门 http://www.99118.com/huoche/zhan/shenzhenbei.htm
G1608 福州 深圳北 广州南 http://www.99118.com/huoche/zhan/shenzhenbei.htm
G1609 福州 深圳北 广州南 http://www.99118.com/huoche/zhan/shenzhenbei.htm
T212 深圳东 深圳东 上海南 http://www.99118.com/huoche/zhan/shenzhendong.htm
G1902 福州 水家湖 兰州西 http://www.99118.com/huoche/zhan/shuijiahu.htm
G1903 福州 水家湖 兰州西 http://www.99118.com/huoche/zhan/shuijiahu.htm
C511 长春 松原 白城 http://www.99118.com/huoche/zhan/songyuan.htm
G7011 南京 苏州 上海 http://www.99118.com/huoche/zhan/suzhou.htm
G7248 上海 苏州 合肥南 http://www.99118.com/huoche/zhan/suzhou.htm
G7249 上海 苏州 合肥南 http://www.99118.com/huoche/zhan/suzhou.htm
G1209 济南西 泰安 上海虹桥 http://www.99118.com/huoche/zhan/taian2.htm
G1907 银川 泰安 济南西 http://www.99118.com/huoche/zhan/taian2.htm
G1910 银川 泰安 济南西 http://www.99118.com/huoche/zhan/taian2.htm
G7713 杭州东 台州 温岭 http://www.99118.com/huoche/zhan/taizhou2.htm
D2363 南宁东 藤县 广州南 http://www.99118.com/huoche/zhan/tengxian.htm
K420 兰州 天水 扬州 http://www.99118.com/huoche/zhan/tianshui.htm
K417 兰州 天水 扬州 http://www.99118.com/huoche/zhan/tianshui.htm
D2655 西安北 天水南 兰州西 http://www.99118.com/huoche/zhan/tianshuinan.htm
D3952 桂林北 田阳 大理 http://www.99118.com/huoche/zhan/tianyang.htm
D3953 桂林北 田阳 大理 http://www.99118.com/huoche/zhan/tianyang.htm
7270 塘豹 通道 怀化 http://www.99118.com/huoche/zhan/tongdao.htm
G7425 合肥南 铜陵 安庆 http://www.99118.com/huoche/zhan/tongling2.htm
G7425 合肥南 铜陵北 安庆 http://www.99118.com/huoche/zhan/tonglingbei.htm
G2154 长沙南 铜仁南 重庆西 http://www.99118.com/huoche/zhan/tongrennan.htm
G2151 长沙南 铜仁南 重庆西 http://www.99118.com/huoche/zhan/tongrennan.htm
7511 银川 土桥子 长庆桥 http://www.99118.com/huoche/zhan/tuqiaozi.htm
7514 银川 土桥子 长庆桥 http://www.99118.com/huoche/zhan/tuqiaozi.htm
C511 长春 王府 白城 http://www.99118.com/huoche/zhan/wangfu.htm
G1071 北京南 潍坊 青岛 http://www.99118.com/huoche/zhan/weifang.htm
G6906 青岛 潍坊北 济南西 http://www.99118.com/huoche/zhan/weifangbei.htm
G6907 青岛 潍坊北 济南西 http://www.99118.com/huoche/zhan/weifangbei.htm
K605 西安 渭南 杭州 http://www.99118.com/huoche/zhan/weinan.htm
K608 西安 渭南 杭州 http://www.99118.com/huoche/zhan/weinan.htm
G1907 银川 渭南北 济南西 http://www.99118.com/huoche/zhan/weinanbei.htm
G1910 银川 渭南北 济南西 http://www.99118.com/huoche/zhan/weinanbei.htm
K466 宁波 渭南西 西安 http://www.99118.com/huoche/zhan/weinanxi.htm
K467 宁波 渭南西 西安 http://www.99118.com/huoche/zhan/weinanxi.htm
C7321 海口东 文昌 三亚 http://www.99118.com/huoche/zhan/wenchang.htm
G878 广州南 武汉 银川 http://www.99118.com/huoche/zhan/wuhan.htm
G875 广州南 武汉 银川 http://www.99118.com/huoche/zhan/wuhan.htm
K608 西安 芜湖 杭州 http://www.99118.com/huoche/zhan/wuhu.htm
K605 西安 芜湖 杭州 http://www.99118.com/huoche/zhan/wuhu.htm
K466 宁波 芜湖 西安 http://www.99118.com/huoche/zhan/wuhu.htm
K467 宁波 芜湖 西安 http://www.99118.com/huoche/zhan/wuhu.htm
C2214 天津 武清 北京南 http://www.99118.com/huoche/zhan/wuqing.htm
G7248 上海 无锡 合肥南 http://www.99118.com/huoche/zhan/wuxi.htm
G7249 上海 无锡 合肥南 http://www.99118.com/huoche/zhan/wuxi.htm
G1809 洛阳龙门 无锡东 上海虹桥 http://www.99118.com/huoche/zhan/wuxidong.htm
G1812 洛阳龙门 无锡东 上海虹桥 http://www.99118.com/huoche/zhan/wuxidong.htm
G1675 南京南 武夷山东 厦门北 http://www.99118.com/huoche/zhan/wuyishandong.htm
G1907 银川 吴忠 济南西 http://www.99118.com/huoche/zhan/WuZhong.htm
G1910 银川 吴忠 济南西 http://www.99118.com/huoche/zhan/WuZhong.htm
D3842 珠海 梧州南 昆明南 http://www.99118.com/huoche/zhan/wuzhounan.htm
D3843 珠海 梧州南 昆明南 http://www.99118.com/huoche/zhan/wuzhounan.htm
D3614 广州南 梧州南 南宁东 http://www.99118.com/huoche/zhan/wuzhounan.htm
D2363 南宁东 梧州南 广州南 http://www.99118.com/huoche/zhan/wuzhounan.htm
G1662 龙岩 厦门北 蚌埠南 http://www.99118.com/huoche/zhan/xiamenbei.htm
G1663 龙岩 厦门北 蚌埠南 http://www.99118.com/huoche/zhan/xiamenbei.htm
K608 西安 西安 杭州 http://www.99118.com/huoche/zhan/xian.htm
K605 西安 西安 杭州 http://www.99118.com/huoche/zhan/xian.htm
K466 宁波 西安 西安 http://www.99118.com/huoche/zhan/xian.htm
K467 宁波 西安 西安 http://www.99118.com/huoche/zhan/xian.htm
G1714 兰州西 西安北 天津西 http://www.99118.com/huoche/zhan/xianbei.htm
G1910 银川 西安北 济南西 http://www.99118.com/huoche/zhan/xianbei.htm
G1907 银川 西安北 济南西 http://www.99118.com/huoche/zhan/xianbei.htm
S6937 长沙 先锋 湘潭 http://www.99118.com/huoche/zhan/xianfeng.htm
D5778 武穴北 襄阳东 十堰东 http://www.99118.com/huoche/zhan/xiangyangdong.htm
S6939 长沙 香樟路 湘潭 http://www.99118.com/huoche/zhan/xiangzhanglu.htm
D1920 成都东 西安西 西安北 http://www.99118.com/huoche/zhan/XiAnXi.htm
G1907 银川 咸阳北 济南西 http://www.99118.com/huoche/zhan/XianYangBei.htm
G1910 银川 咸阳北 济南西 http://www.99118.com/huoche/zhan/XianYangBei.htm
G279 济南西 孝感北 深圳北 http://www.99118.com/huoche/zhan/xiaoganbei.htm
C7644 珠海 小榄 广州南 http://www.99118.com/huoche/zhan/xiaolan.htm
G331 北京西 新乡东 成都东 http://www.99118.com/huoche/zhan/xinxiangdong.htm
G334 北京西 新乡东 成都东 http://www.99118.com/huoche/zhan/xinxiangdong.htm
K466 宁波 信阳 西安 http://www.99118.com/huoche/zhan/xinyang.htm
K467 宁波 信阳 西安 http://www.99118.com/huoche/zhan/xinyang.htm
K836 深圳东 秀山 重庆北 http://www.99118.com/huoche/zhan/xiushan.htm
K837 深圳东 秀山 重庆北 http://www.99118.com/huoche/zhan/xiushan.htm
K466 宁波 西峡 西安 http://www.99118.com/huoche/zhan/xixia2.htm
K467 宁波 西峡 西安 http://www.99118.com/huoche/zhan/xixia2.htm
K466 宁波 宣城 西安 http://www.99118.com/huoche/zhan/xuancheng.htm
K467 宁波 宣城 西安 http://www.99118.com/huoche/zhan/xuancheng.htm
G2641 济南西 徐州东 南通 http://www.99118.com/huoche/zhan/xuzhoudong.htm
G1907 银川 徐州东 济南西 http://www.99118.com/huoche/zhan/xuzhoudong.htm
G1910 银川 徐州东 济南西 http://www.99118.com/huoche/zhan/xuzhoudong.htm
